rank,ticker,avg_return_3m,median_return,std_return,win_rate,sample_count,min_return,max_return,data_start_date,data_end_date
1,APP,0.20251849638505937,0.09275483340024948,0.5751073010340564,0.6075745366639806,1241,-0.986775279045105,3.651836395263672,2021-04-15,2026-04-06
2,PLTR,0.18272093367516312,0.0757293626666069,0.4517728972059121,0.6109906001446131,1383,-0.9015739560127258,2.91959810256958,2020-09-30,2026-04-06
3,TSLA,0.14597050557739402,0.049850041046738625,0.377812514892022,0.5832492431886983,3964,-0.9988853931427002,2.2045905590057373,2010-06-29,2026-04-06
4,CEG,0.1453026296887167,0.12783269584178925,0.2189208919137014,0.7159090909090909,1056,-0.3911682963371277,0.8299017548561096,2022-01-19,2026-04-06
5,NVDA,0.12809618315076407,0.08686892688274384,0.25936989072524463,0.699853228962818,4088,-0.5532323122024536,1.0958781242370605,2010-01-04,2026-04-06
6,GEV,0.12798194615028807,0.0563272200524807,0.3453004489929283,0.6561844863731656,477,-0.9997166991233826,0.9522616863250732,2024-03-27,2026-04-06
7,HOOD,0.10962355631200528,0.051686692982912064,0.4357126019787544,0.5757575757575758,1155,-0.9585360288619995,1.8884986639022827,2021-07-29,2026-04-06
8,CRWD,0.10412728117121181,0.08657373487949371,0.2834895561072825,0.6433158201984822,1713,-0.5363773107528687,1.9996970891952515,2019-06-12,2026-04-06
9,NFLX,0.10371217202893078,0.10931403934955597,0.30087259106229136,0.6977657746133071,4073,-0.9941226243972778,1.8131476640701294,2010-01-04,2026-04-06
10,ANET,0.09219236405362607,0.08387994766235352,0.19513983919130784,0.6736134453781513,2975,-0.8425878882408142,0.7346087098121643,2014-06-06,2026-04-06
11,AVGO,0.09074722551878735,0.08093651756644249,0.15460626984751996,0.7318627450980392,4080,-0.9412832260131836,0.8671591281890869,2010-01-04,2026-04-06
12,AMD,0.08775572493936812,0.04206244274973869,0.3007390759110968,0.5626223091976517,4088,-0.5539568066596985,1.1581734418869019,2010-01-04,2026-04-06
13,META,0.0802722227409598,0.060936082154512405,0.21263041249659556,0.6744052737173976,3489,-0.5017237067222595,1.1105848550796509,2012-05-18,2026-04-06
14,MU,0.07381386434522355,0.06048905290663242,0.243118160880336,0.6009309162175405,4082,-0.9957832098007202,0.9224351048469543,2010-01-04,2026-04-06
15,LRCX,0.0718590175657071,0.06562487035989761,0.16650824460868557,0.6692759295499021,4088,-0.3552519679069519,0.7003755569458008,2010-01-04,2026-04-06
16,KLAC,0.06715817927988164,0.05541414022445679,0.14795582396914128,0.6570450097847358,4088,-0.34942370653152466,0.6935625076293945,2010-01-04,2026-04-06
17,COF,0.06631080173769341,0.02879318967461586,0.24117947387449223,0.6136087484811664,4115,-0.5855882167816162,1.786466121673584,2010-01-04,2026-04-06
18,AMZN,0.06618095008844962,0.0664253868162632,0.14728906409617118,0.6703377386196769,4086,-0.9376695156097412,0.6034071445465088,2010-01-04,2026-04-06
19,PANW,0.05984190142496866,0.05577627010643482,0.20017681001739138,0.6359623307828134,3398,-0.9739854335784912,0.7563328742980957,2012-07-20,2026-04-06
20,MA,0.059699944593419735,0.05553443171083927,0.19992885544453895,0.7274951076320939,4088,-0.794730007648468,4.435162544250488,2010-01-04,2026-04-06
21,TMUS,0.0562503542997554,0.052244022488594055,0.16423487835349918,0.6817514677103719,4088,-0.5418832898139954,1.1382420063018799,2010-01-04,2026-04-06
22,LLY,0.054861436195707984,0.043250033631920815,0.11493417669511956,0.6754772393538914,4086,-0.9538143873214722,0.5930250287055969,2010-01-04,2026-04-06
23,IBKR,0.054035565197719286,0.03762085363268852,0.1508124080521307,0.6042074363992173,4088,-0.3275362253189087,0.6225458979606628,2010-01-04,2026-04-06
24,INTU,0.05321460518767849,0.05602052994072437,0.11057381432910161,0.7211350293542075,4088,-0.3852778673171997,0.5104765892028809,2010-01-04,2026-04-06
